*$$$,"CASH","0",100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","",""
"00846U10","AGILENT TECHNOLOGIES INC","22",48.9375,16.72,453.02,1.22,-0.21,-0.57,-0.61,-0.22,-0.26,1.9,-1.25,0,-0.36,-0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.1232,"","","","","",""
"01381710","ALCOA INC","31",25.3125,8.5,866,1.23,0.65,0.15,0.18,-0.11,-0.54,1.89,-1.03,-0.55,-0.07,-0.18,-0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.8773,"","","","","",""
"00723110","ADMIRALTY BANCORP CL B","2",8.75,7.88,2.35,0.71,-0.33,0.97,-0.61,-0.49,-0.16,-2.99,0.95,-0.99,-0.24,-0.65,-0.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9811,"","","","","",""
"00431F10","ACCESS ANYTIME BANCORP","2",6.3125,7.58,1.24,0.8,1.47,2.64,-0.61,-0.74,-0.59,-3.66,0.08,-0.3,0.34,0.07,-0.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.577,"","","","","",""
"00371F20","ABLEAUCTIONS.COM INC","4",4.5,27.76,20.88,1.58,-0.92,-0.81,-0.61,-0.78,0.11,-1.92,1.03,0,-0.67,-0.65,1.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.011,"","","","","",""
"01853E20","ALLIANCE ATLANTIS COMMUN","21",17.2812,15.08,25.41,0.72,0.06,0.77,-0.61,-0.78,0.24,-0.84,1.03,-0.86,0.13,0.16,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.7169,"","","","","",""
"00440310","ACE CASH EXPRESS INC","4",11,11.44,10.16,1.36,0.84,0.15,-0.61,-0.65,-0.59,-1.8,-1.33,-0.03,0.24,-0.1,-0.09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6678,"","","","","",""
"00504P10","ACTIVE APPAREL GROUP INC","14",3.84375,28.7992,2.49,0.84,1.72,0.76,-0.61,0.36,0.12,-3.52,0.67,-0.91,1.57,-0.65,-0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.475,"","","","","",""
"00949P10","AIRTRAN HOLDINGS INC","34",4.4375,16.71,65.73,0.65,-0.92,0,-0.61,-0.49,-0.48,-1.13,1.03,0.09,0.71,-0.65,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.2108,"","","","","",""
